"ObjGeographyID","ObjectID","GeoCodeID","Continent","SubContinent","Country","Region","River","State","County","City","Locale","Building","Excavation","Locus","Notes","LoginID","EnteredDate","Township","PoliticalRegion","Nation","RegionalCorp","VillageCorporation","CulturalRegion","Longitude","Latitude","UTM","Easting","Northing","Elevation","MapReferenceNumber","SubRegion","Lot","Concession","PrimaryDisplay","KeyFieldsSearchValue","GSRowVersion"
"910","796","1",,,"USA",,,"North Carolina",,"Highlands (near)",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Highlands (near) 0.000 0.000","0x000000000537D893"
"1427","1350","1",,,"USA",,,"North Carolina",,"Currituck",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Currituck 0.000 0.000","0x000000000537DB46"
"2568","2263","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x000000000537DF65"
"2567","2302","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x000000000537DF97"
"2569","2303","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x000000000537DF99"
"2566","2372","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x000000000537DFE6"
"2565","2415","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x000000000537E01F"
"2571","2454","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x000000000537E057"
"2570","2494","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x000000000537E096"
"3428","3115","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina 0.000 0.000","0x000000000537E380"
"3592","3135","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina 0.000 0.000","0x000000000537E3A1"
"3593","3276","1",,,"USA",,,"North Carolina",,"Durham",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Durham 0.000 0.000","0x000000000537E45B"
"3604","3575","1",,,"USA",,,"North Carolina",,"Yanceyville",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Yanceyville 0.000 0.000","0x000000000537E5F2"
"5917","4614","1",,,"USA",,,"North Carolina",,"Cherokee (near)",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Cherokee (near) 0.000 0.000","0x000000000537EC40"
"6648","5169","1",,,"USA",,,"North Carolina",,"Penland",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Penland 0.000 0.000","0x000000000537F01A"
"6617","5547","1",,,"USA",,,"North Carolina",,"Wing",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Wing 0.000 0.000","0x000000000537F346"
"6618","5558","1",,,"USA",,,"North Carolina",,"Penland",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Penland 0.000 0.000","0x000000000537F35E"
"7509","5617","1",,,"USA",,,"North Carolina",,"Wadesboro",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Wadesboro 0.000 0.000","0x000000000537F3C0"
"6629","6023","1",,,"USA",,,"North Carolina",,"Penland",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Penland 0.000 0.000","0x000000000537F6BD"
"6626","6351","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina 0.000 0.000","0x000000000537F93B"
"7521","6410","1",,,"USA",,,"North Carolina",,"Tallyho (near)",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Tallyho (near) 0.000 0.000","0x000000000537F9A9"
"7797","6574","1",,,"USA",,,"North Carolina",,"Charlotte",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Charlotte 0.000 0.000","0x000000000537FACF"
"6607","6723","1",,,"USA",,,"North Carolina",,"Charlotte",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Charlotte 0.000 0.000","0x000000000537FBC0"
"8498","7131","1",,,"USA",,,"North Carolina",,"Kitty Hawk",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Kitty Hawk 0.000 0.000","0x000000000537FE5F"
"8990","7734","1",,,"USA",,,"North Carolina",,"Penland",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Penland 0.000 0.000","0x00000000053801DE"
"10299","9369","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina 0.000 0.000","0x0000000005380B30"
"11133","9469","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x0000000005380BCD"
"10845","9727","1",,,"USA",,,"North Carolina",,"Wendell",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Wendell 0.000 0.000","0x0000000005380D51"
"11828","10204","1",,,"USA",,,"North Carolina",,"Durham",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Durham 0.000 0.000","0x0000000005380FE8"
"11769","10903","1",,,"USA",,,"North Carolina",,"Durham",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Durham 0.000 0.000","0x00000000053813C9"
"12776","11271","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina 0.000 0.000","0x00000000053815F9"
"15123","12997","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina 0.000 0.000","0x00000000053820C6"
"15334","14117","1",,,"USA",,,"North Carolina",,"PENLAND",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina PENLAND 0.000 0.000","0x00000000053827E5"
"16642","14386","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina 0.000 0.000","0x00000000053829C4"
"17467","15037","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina 0.000 0.000","0x0000000005382CFF"
"17252","15117","1",,,"USA",,,"North Carolina",,"Cherokee (near)",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Cherokee (near) 0.000 0.000","0x0000000005382D75"
"17355","15165","1",,,"USA",,,"North Carolina",,"Wendell",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Wendell 0.000 0.000","0x0000000005382DB3"
"17469","15293","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina 0.000 0.000","0x0000000005382E72"
"18022","15493","1",,,"USA",,,"North Carolina",,"Durham (near)",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Durham (near) 0.000 0.000","0x0000000005382F9B"
"17994","15840","1",,,"USA",,,"North Carolina",,"Morganton",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Morganton 0.000 0.000","0x000000000538318A"
"3594","17454","1",,,"USA",,,"North Carolina",,"Durham",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Durham 0.000 0.000","0x0000000005383B31"
"20993","19297","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina 0.000 0.000","0x000000000538464A"
"8501","20616","1",,,"USA",,,"North Carolina",,"Durham",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Durham 0.000 0.000","0x0000000005384DC2"
"11143","20939","1",,,"USA",,,"North Carolina",,"Tallyho (near), Granville County",,,,,"Stem (near)","Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Tallyho (near), Granville County 0.000 0.000 Stem (near)","0x0000000005384F93"
"23325","22368","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina 0.000 0.000","0x00000000053857A7"
"23402","22480","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina 0.000 0.000","0x000000000538584A"
"26094","24309","1",,,"USA",,,"North Carolina",,"Currituck",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Currituck 0.000 0.000","0x000000000538642B"
"27326","24470","1",,,"USA",,,"North Carolina",,"Asheville (near)",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Asheville (near) 0.000 0.000","0x0000000005386523"
"27328","25407","1",,,"USA",,,"North Carolina",,"Asheville",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Asheville 0.000 0.000","0x0000000005386A57"
"28623","25689","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina 0.000 0.000","0x0000000005386BCE"
"28813","25852","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina 0.000 0.000","0x0000000005386CAD"
"27327","25947","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina 0.000 0.000","0x0000000005386D2E"
"30251","28097","1",,,"USA",,,"North Carolina",,"Yanceyville",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Yanceyville 0.000 0.000","0x0000000005387883"
"31934","28536","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x0000000005387B1A"
"28814","29099","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina 0.000 0.000","0x0000000005387E3A"
"17472","29157","1",,,,,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","North Carolina 0.000 0.000","0x0000000005387E85"
"31056","29351","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina 0.000 0.000","0x0000000005387F8E"
"32033","30665","1",,,"USA",,,"North Carolina",,"Jacksonville",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Jacksonville 0.000 0.000","0x0000000005388717"
"18180","30902","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x000000000538885E"
"33136","31398","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina 0.000 0.000","0x0000000005388B35"
"35510","33634","1",,,"USA",,,"North Carolina",,"Wadesboro",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Wadesboro 0.000 0.000","0x0000000005389889"
"35512","34430","1",,,"USA",,,"North Carolina",,"Wendell",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Wendell 0.000 0.000","0x0000000005389CF0"
"35834","34520","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina 0.000 0.000","0x0000000005389D8D"
"35873","34570","1",,,"USA",,,"North Carolina",,"Wendell",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Wendell 0.000 0.000","0x0000000005389DD3"
"36001","35081","1",,,"USA",,,"North Carolina",,"Durham",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Durham 0.000 0.000","0x000000000538A02D"
"37444","35510","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina 0.000 0.000","0x000000000538A238"
"37672","35660","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x000000000538A2D5"
"37446","35707","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina 0.000 0.000","0x000000000538A313"
"37294","36171","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x000000000538A4FF"
"38696","37869","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Marshall 0.000 0.000","0x000000000538AE42"
"38698","37870","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Marshall 0.000 0.000","0x000000000538AE44"
"38705","37871","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina 0.000 0.000","0x000000000538AE45"
"38707","37872","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Marshall 0.000 0.000","0x000000000538AE46"
"38683","37885","1",,,"USA",,,"North Carolina",,"Bakersville",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Bakersville 0.000 0.000","0x000000000538AE55"
"38686","37886","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Marshall 0.000 0.000","0x000000000538AE57"
"38687","37887","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Marshall 0.000 0.000","0x000000000538AE59"
"38700","37888","1",,,"USA",,,"North Carolina",,"Guntertown [sic]",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Guntertown [sic] 0.000 0.000","0x000000000538AE5B"
